internship_id,Date,Time,profile,company,Location,Min Stipend,Max Stipend,Duration,Apply by Date,Education,Skills,Perks,Number of Skills,Number of Perks
2025WSHP0001,9/27/2025,20:41:17,Creative,Arbhu Enterprises Private Limited,Bangalore,15000,25000,13,2 October 2025,Unknown,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Office, Social Media Marketing",Unknown,5,0
2025WSHP0002,9/21/2025,15:41:06,Others,Vikalp India Private Limited,Work from home,6000,9000,26,6 October 2025,Unknown,Online Teaching,Unknown,1,0
2025WSHP0003,9/27/2025,21:29:43,Creative,Truevisory Realty Private Limited,Noida,6000,8000,13,15 October 2025,Unknown,"Social Media Marketing, Video Editing, Video Making","Certificate, Flexible",3,2
2025WSHP0004,9/27/2025,20:18:58,Creative,Brand Scale-Up Inc,Bangalore,15000,20000,26,26 October 2025,Unknown,"English Proficiency (Spoken), English Proficiency (Written), Google Sheets, Mathematics, MS-Excel, Statistical Modeling, Statistics","Certificate, Letter Of Recommendation, 5 Days A Week",7,3
2025WSHP0005,9/27/2025,23:04:19,Sales,ABEC Limited (Asian Business Exhibitions And Conferences),Mumbai,10000,15000,4,2 October 2025,Unknown,English Proficiency (Spoken),Certificate,1,1
2025WSHP0006,9/21/2025,15:20:19,Others,Achieve Point Private Limited,Work from home,6000,12000,9,12 October 2025,Unknown,"Music, Music Production","Certificate, Flexible, Letter Of Recommendation",2,3
2025WSHP0007,9/27/2025,21:44:44,Sales,Raja Tyagi,Greater Noida,5000,8000,13,9 October 2025,Unknown,"English Proficiency (Spoken), English Proficiency (Written)","Certificate, Flexible",2,2
2025WSHP0008,9/27/2025,20:24:26,Others,Taskify,Bangalore,20000,30000,26,18 October 2025,Unknown,"Marketing, Strategy","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",2,4
2025WSHP0009,9/27/2025,21:36:21,Sales,Kenovate Solutions,Delhi,5000,5001,13,12 October 2025,Unknown,"English Proficiency (Spoken), English Proficiency (Written), Human Resources, MS-Excel, MS-Office, Recruitment, Resume screening",Certificate,7,1
2025WSHP0010,9/27/2025,20:54:13,Creative,Blue Rose Publishers,Noida,8000,12000,13,20 October 2025,Unknown,"Adobe After Effects, Adobe Premiere Pro, English Proficiency (Spoken), English Proficiency (Written), Video Editing, Video Making","Certificate, Flexible, Letter Of Recommendation",6,3
2025WSHP0011,9/27/2025,22:38:41,Creative,HB Designs Reborn,Mumbai,0,3000,13,22 October 2025,Unknown,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Fashion Designing",Certificate,4,1
2025WSHP0012,9/27/2025,22:17:57,Sales,Swayam Infinty Private Limited,Hyderabad,12000,25000,9,8 October 2025,Unknown,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Telugu Proficiency (Spoken)","Certificate, Letter Of Recommendation",5,2
